days,cgm_B_all,cgm_B_ok,cgm_C_all,cgm_C_ok,kcal_B_all,kcal_B_ok,kcal_C_all,kcal_C_ok,pa_sleep_B,pa_sleep_C,pa_activity_B,pa_activity_C,survey_morning_B,survey_morning_C,survey_evening_B,survey_evening_C,sample_gdrink_B,sample_sbreakfast_B,sample_gdrink_C,sample_sbreakfast_C,sample_mb_B,sample_mb_C
0,9,11,0,1,0,0,0,0,336,51,681,122,2,0,2,0,36,12,2,0,14,3
1,1,4,0,0,0,1,0,0,8,1,19,0,1,0,2,0,61,4,1,0,856,141
2,0,3,0,0,0,1,0,0,9,1,22,0,1,0,1,0,766,3,14,1,,
3,0,1,0,0,5,6,0,0,4,2,14,1,4,0,3,0,,20,12,1,,
4,0,5,1,1,0,0,0,0,7,0,16,0,1,0,1,0,,47,112,1,,
5,0,5,0,0,0,2,0,1,6,0,15,1,0,0,1,0,,109,,2,,
6,2,12,0,0,0,4,0,0,12,0,15,3,0,0,0,0,,616,,5,,
7,2,37,0,0,2,2,0,0,7,1,19,0,1,0,2,0,,50,,4,,
8,3,26,0,0,0,2,0,0,8,0,15,2,2,0,1,0,,,,3,,
9,12,31,0,0,2,5,0,0,11,1,12,1,5,0,5,0,,,,4,,
10,23,50,0,0,1,12,0,0,20,1,8,0,4,0,8,0,,,,10,,
11,15,82,0,0,4,7,1,0,24,0,4,3,14,0,11,0,,,,27,,
12,14,144,0,1,8,11,0,0,36,0,8,1,9,0,6,0,,,,77,,
13,29,439,0,2,6,35,0,0,86,1,9,0,9,0,8,0,,,,,,
14,142,6,0,4,12,37,0,0,290,1,7,2,816,0,818,0,,,,,,
15,563,1,1,3,23,90,0,0,2,1,0,1,1,0,1,0,,,,,,
16,23,2,0,4,51,135,0,1,0,1,0,1,0,0,0,0,,,,,,
17,12,5,0,3,257,328,0,0,0,2,1,0,0,1,0,2,,,,,,
18,4,0,1,5,252,73,0,1,0,1,2,1,0,0,0,0,,,,,,
19,2,0,1,3,84,28,0,0,1,2,0,1,0,1,0,1,,,,,,
20,2,1,2,4,36,13,2,2,0,2,0,0,0,0,0,0,,,,,,
21,2,1,0,2,18,9,1,2,0,0,0,1,0,0,0,1,,,,,,
22,1,2,1,11,7,6,0,4,0,0,0,0,0,1,0,0,,,,,,
23,2,0,2,14,10,6,0,4,0,2,0,0,0,1,0,0,,,,,,
24,2,1,3,10,8,11,2,2,0,1,0,1,0,0,0,0,,,,,,
25,0,0,3,21,10,6,0,5,0,4,0,0,0,0,0,1,,,,,,
26,0,1,5,27,13,7,0,0,1,4,0,0,0,0,0,1,,,,,,
27,3,0,6,23,10,1,2,5,0,5,0,0,0,1,0,3,,,,,,
28,0,0,30,1,5,4,2,10,0,13,0,1,0,2,0,3,,,,,,
29,1,0,76,1,5,4,6,18,0,3,0,0,0,3,0,1,,,,,,
30,1,0,2,0,3,3,4,20,0,0,0,0,0,3,0,2,,,,,,
31,0,0,0,1,6,2,47,47,1,0,0,0,0,0,0,0,,,,,,
32,0,0,1,0,3,1,41,8,0,0,0,0,0,2,0,0,,,,,,
33,0,0,3,0,1,2,14,3,0,0,0,0,0,0,0,0,,,,,,
34,0,0,0,0,3,1,6,2,0,1,0,0,0,0,0,0,,,,,,
35,0,0,2,0,0,0,3,4,0,0,1,0,0,2,0,2,,,,,,
36,0,0,1,0,2,1,1,0,0,0,0,0,0,2,0,2,,,,,,
37,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,,,,,,
38,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,
39,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,,,,,,
40,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,,,,,,
+,0,0,3,1,15,10,8,5,1,42,1,1,0,123,0,123,7,9,3,9,0,0
