hr,food_mon,food_tue,food_wed,food_thu,food_fri,food_sat,food_sun,cgm_mean_wk,cgm_mean_we,cgm_stdv_wk,cgm_stdv_we,sleep_strt_wk,sleep_strt_we,sleep_stop_wk,sleep_stop_we,sleep_len_wk,sleep_len_we
0.0,90,119,109,117,142,272,286,5.169,5.255,0.919,0.931,906,327,0,0,,
0.5,,,,,,,,5.09,5.18,0.899,0.917,601,279,1,0,,
1.0,25,38,44,32,59,118,151,5.002,5.09,0.869,0.894,443,220,0,0,,
1.5,,,,,,,,4.939,4.999,0.84,0.85,273,139,1,0,,
2.0,19,24,15,22,25,49,92,4.879,4.932,0.799,0.82,172,115,2,1,,
2.5,,,,,,,,4.825,4.874,0.779,0.789,93,58,2,0,,
3.0,17,28,11,17,47,45,50,4.782,4.822,0.759,0.762,80,43,7,3,,
3.5,,,,,,,,4.743,4.783,0.737,0.757,38,23,14,5,,
4.0,37,33,43,22,31,38,37,4.712,4.745,0.719,0.741,26,25,27,8,48,15
4.5,,,,,,,,4.693,4.715,0.709,0.726,14,12,59,15,53,19
5.0,231,265,237,212,221,100,56,4.687,4.698,0.709,0.721,10,10,141,45,104,46
5.5,,,,,,,,4.719,4.697,0.733,0.734,5,6,349,99,198,63
6.0,1039,1224,1273,1222,1111,398,278,4.818,4.727,0.815,0.767,7,3,1060,268,376,126
6.5,,,,,,,,5.002,4.786,0.979,0.825,1,2,1208,342,721,223
7.0,2134,2449,2374,2546,2321,1236,818,5.227,4.885,1.127,0.92,1,0,1422,451,1207,351
7.5,,,,,,,,5.422,5.026,1.196,1.049,1,2,988,355,1520,533
8.0,2019,2195,2367,2352,2308,2223,1959,5.505,5.196,1.177,1.162,2,1,844,423,1420,555
8.5,,,,,,,,5.485,5.344,1.131,1.216,0,1,551,289,934,392
9.0,2092,2097,2215,2242,2129,2531,2662,5.441,5.447,1.099,1.191,0,0,469,247,611,336
9.5,,,,,,,,5.404,5.491,1.062,1.172,0,0,236,190,282,199
10.0,1858,1895,2043,2034,2063,2381,2603,5.365,5.47,1.005,1.125,1,0,181,135,180,127
10.5,,,,,,,,5.336,5.449,0.967,1.081,0,0,94,82,77,55
11.0,1793,1661,1841,1873,1760,2163,2436,5.287,5.406,0.941,1.036,0,0,55,52,44,36
11.5,,,,,,,,5.259,5.385,0.937,1.002,0,0,34,39,14,12
12.0,4752,4908,5197,5019,4800,3742,3603,5.309,5.368,0.963,0.973,0,0,19,18,,
12.5,,,,,,,,5.583,5.445,1.123,1.004,0,0,9,4,,
13.0,2753,2924,3179,3029,3141,3452,3576,5.853,5.557,1.236,1.043,0,0,3,4,,
13.5,,,,,,,,5.918,5.609,1.215,1.071,0,0,10,3,,
14.0,1522,1661,1683,1896,1857,2546,2602,5.872,5.643,1.156,1.089,0,0,0,7,,
14.5,,,,,,,,5.783,5.634,1.087,1.033,0,0,1,0,,
15.0,1847,1685,1845,1841,1809,2153,2155,5.675,5.613,1.03,1.009,0,0,1,0,,
15.5,,,,,,,,5.586,5.583,0.997,0.991,0,0,0,0,,
16.0,1736,1663,2019,1890,1824,2070,2122,5.507,5.573,0.967,0.996,0,0,1,1,,
16.5,,,,,,,,5.47,5.559,0.965,0.998,0,0,0,1,,
17.0,1673,1568,1761,1735,1834,1983,1905,5.437,5.536,0.961,1.017,0,0,0,0,,
17.5,,,,,,,,5.401,5.492,0.957,1.002,0,0,0,1,,
18.0,2758,2824,2878,2924,2863,2853,2950,5.378,5.458,0.973,1.002,0,0,0,0,,
18.5,,,,,,,,5.407,5.458,1.006,1.002,0,0,0,0,,
19.0,3869,3959,4068,3939,4136,4105,3989,5.496,5.489,1.066,1.028,2,0,0,0,,
19.5,,,,,,,,5.585,5.54,1.11,1.07,2,0,0,0,,
20.0,2887,3187,3327,3507,3617,3461,2767,5.663,5.609,1.131,1.077,8,2,0,0,,
20.5,,,,,,,,5.682,5.615,1.12,1.074,23,3,0,0,,
21.0,1760,1984,2062,2138,2308,2374,1602,5.657,5.572,1.087,1.04,113,44,0,0,,
21.5,,,,,,,,5.607,5.544,1.059,1.022,220,71,0,0,,
22.0,994,1017,1002,1192,1405,1426,852,5.532,5.515,1.025,1.017,746,278,0,0,,
22.5,,,,,,,,5.442,5.452,0.993,1.009,1080,368,0,0,,
23.0,364,426,414,474,667,746,363,5.351,5.385,0.967,0.983,1616,565,0,0,,
23.5,,,,,,,,5.266,5.299,0.946,0.955,1305,491,0,0,,
