"var","value","strata","strata_value"
"energy_kcal_eaten",2434.5,"gender","male"
"energy_kcal_eaten",2331.32,"gender","male"
"energy_kcal_eaten",1903.24,"gender","male"
"energy_kcal_eaten",2048.36,"gender","female"
"energy_kcal_eaten",3048.05,"gender","male"
"energy_kcal_eaten",1509.63,"gender","female"
"energy_kcal_eaten",1661.88,"gender","female"
"energy_kcal_eaten",2081.27,"gender","female"
"energy_kcal_eaten",1797.13,"gender","female"
"energy_kcal_eaten",2197.8,"gender","female"
"energy_kcal_eaten",1988.46,"gender","male"
"energy_kcal_eaten",1994.69,"gender","male"
"energy_kcal_eaten",2990.02,"gender","male"
"energy_kcal_eaten",2107.11,"gender","female"
"energy_kcal_eaten",1711.96,"gender","male"
"energy_kcal_eaten",2342.32,"gender","female"
"energy_kcal_eaten",1889.55,"gender","female"
"energy_kcal_eaten",2010.91,"gender","male"
"energy_kcal_eaten",2851.15,"gender","male"
"energy_kcal_eaten",1803.87,"gender","male"
"energy_kcal_eaten",2600.14,"gender","male"
"energy_kcal_eaten",2121.6,"gender","male"
"energy_kcal_eaten",2350.2,"gender","female"
"energy_kcal_eaten",1412.61,"gender","female"
"energy_kcal_eaten",2325.83,"gender","male"
"energy_kcal_eaten",1918.79,"gender","female"
"energy_kcal_eaten",1789.32,"gender","male"
"energy_kcal_eaten",2446.01,"gender","male"
"energy_kcal_eaten",2085.88,"gender","female"
"energy_kcal_eaten",1488.81,"gender","male"
"energy_kcal_eaten",2076.64,"gender","male"
"energy_kcal_eaten",2442.61,"gender","female"
"energy_kcal_eaten",1688.49,"gender","female"
"energy_kcal_eaten",2076.22,"gender","male"
"energy_kcal_eaten",3171.22,"gender","male"
"energy_kcal_eaten",1995.95,"gender","male"
"energy_kcal_eaten",1581.87,"gender","female"
"energy_kcal_eaten",2757.11,"gender","male"
"energy_kcal_eaten",2198.02,"gender","male"
"energy_kcal_eaten",2148.96,"gender","female"
"energy_kcal_eaten",1717.32,"gender","female"
"energy_kcal_eaten",2039.68,"gender","female"
"energy_kcal_eaten",1601.74,"gender","female"
